# Residuals   
# Time        	p             	Ux            	Uy            
18.4          	2.355856e-01	1.824947e-03	2.083030e-03
18.5          	2.702938e-01	1.618543e-03	2.363570e-03
18.6          	2.312411e-01	1.808316e-03	2.048152e-03
18.7          	2.648676e-01	1.605235e-03	2.319252e-03
18.8          	2.270035e-01	1.792059e-03	2.014159e-03
18.9          	2.595876e-01	1.592237e-03	2.276190e-03
19            	2.228714e-01	1.776158e-03	1.981011e-03
19.1          	2.544474e-01	1.579528e-03	2.234324e-03
19.2          	2.188379e-01	1.760597e-03	1.948725e-03
19.3          	2.494470e-01	1.567093e-03	2.193609e-03
19.4          	2.149034e-01	1.745368e-03	1.917195e-03
19.5          	2.445876e-01	1.554902e-03	2.154000e-03
19.6          	2.110672e-01	1.730449e-03	1.886417e-03
19.7          	2.398611e-01	1.542962e-03	2.115470e-03
19.8          	2.073250e-01	1.715828e-03	1.856375e-03
19.9          	2.352633e-01	1.531257e-03	2.078006e-03
20            	2.036700e-01	1.701489e-03	1.827039e-03
20.1          	2.307925e-01	1.519772e-03	2.041517e-03
20.2          	2.001040e-01	1.687415e-03	1.798407e-03
20.3          	2.264436e-01	1.508493e-03	2.005968e-03
20.4          	1.966265e-01	1.673595e-03	1.770443e-03
20.5          	2.222151e-01	1.497398e-03	1.971340e-03
20.6          	1.932334e-01	1.660016e-03	1.743144e-03
20.7          	2.181008e-01	1.486467e-03	1.937613e-03
20.8          	1.899259e-01	1.646665e-03	1.716486e-03
20.9          	2.141000e-01	1.475694e-03	1.904770e-03
21            	1.866987e-01	1.633540e-03	1.690462e-03
21.1          	2.102090e-01	1.465070e-03	1.872708e-03
21.2          	1.835497e-01	1.620631e-03	1.665057e-03
21.3          	2.064230e-01	1.454592e-03	1.841415e-03
21.4          	1.804575e-01	1.607922e-03	1.640217e-03
21.5          	2.027363e-01	1.444249e-03	1.810911e-03
21.6          	1.774405e-01	1.595408e-03	1.615928e-03
21.7          	1.991493e-01	1.434039e-03	1.781151e-03
21.8          	1.745179e-01	1.583079e-03	1.592176e-03
21.9          	1.956668e-01	1.423962e-03	1.752105e-03
22            	1.716523e-01	1.570932e-03	1.568931e-03
22.1          	1.922858e-01	1.413978e-03	1.723734e-03
22.2          	1.688575e-01	1.558967e-03	1.546148e-03
22.3          	1.889976e-01	1.404113e-03	1.696016e-03
22.4          	1.661608e-01	1.547061e-03	1.523807e-03
22.5          	1.858903e-01	1.394040e-03	1.668912e-03
22.6          	1.637010e-01	1.534229e-03	1.501735e-03
22.7          	1.828947e-01	1.383508e-03	1.642595e-03
22.8          	1.608497e-01	1.524877e-03	1.480629e-03
22.9          	1.793482e-01	1.376924e-03	1.616883e-03
23            	1.580856e-01	1.515525e-03	1.459808e-03
23.1          	1.759484e-01	1.370426e-03	1.591813e-03
23.2          	1.549747e-01	1.510459e-03	1.439841e-03
23.3          	1.707856e-01	1.374583e-03	1.567525e-03
