Zeit_s,T_ref_C,RTD_dig,T_Pt100_C
1720.0,44.44,9087,49.64
1725.0,44.38,9086,49.57
1730.0,44.31,9084,49.5
1735.0,44.25,9082,49.47
1740.0,44.19,9080,49.4
1745.0,44.13,9080,49.33
1750.0,44.06,9078,49.3
1755.0,44.0,9076,49.23
1760.0,43.94,9073,49.16
1765.0,43.88,9072,49.09
1770.0,43.81,9069,49.02
1775.0,43.75,9067,48.92
1780.0,43.69,9065,48.89
1785.0,43.63,9063,48.79
1790.0,43.56,9061,48.72
1795.0,43.5,9059,48.68
1800.0,43.44,9058,48.62
1805.0,43.38,9056,48.58
1810.0,43.31,9054,48.51
1815.0,43.25,9053,48.48
1820.0,43.19,9052,48.45
1825.0,43.19,9051,48.38
1830.0,43.06,9049,48.34
1835.0,43.0,9047,48.24
1840.0,42.94,9044,48.14
1845.0,42.94,9043,48.11
1850.0,42.88,9041,48.07
1855.0,42.81,9040,48.0
1860.0,42.75,9038,47.93
1865.0,42.69,9035,47.87
1870.0,42.63,9033,47.73
1875.0,42.56,9031,47.7
1880.0,42.5,9030,47.63
1885.0,42.44,9028,47.59
1890.0,42.38,9024,47.49
1895.0,42.31,9022,47.39
1900.0,42.25,9020,47.32
1905.0,42.25,9019,47.29
1910.0,42.19,9019,47.29
1915.0,42.13,9017,47.25
1920.0,42.06,9016,47.19
1925.0,42.0,9014,47.12
1930.0,41.94,9013,47.08
1935.0,41.88,9012,47.05
1940.0,41.81,9010,46.98
1945.0,41.75,9007,46.91
1950.0,41.69,9005,46.81
1955.0,41.63,9003,46.78
1960.0,41.63,9001,46.71
1965.0,41.56,8999,46.61
1970.0,41.5,8996,46.5
1975.0,41.38,8994,46.44
1980.0,41.38,8994,46.4
1985.0,41.31,8993,46.37
1990.0,41.25,8992,46.33
1995.0,41.19,8990,46.3
2000.0,41.13,8989,46.3
2005.0,41.13,8988,46.23
2010.0,41.06,8985,46.16
2015.0,41.0,8984,46.1
2020.0,40.94,8983,46.06
2025.0,40.88,8981,46.03
2030.0,40.81,8979,45.96
2035.0,40.75,8978,45.89
2040.0,40.69,8976,45.82
2045.0,40.69,8975,45.79
2050.0,40.63,8973,45.72
2055.0,40.56,8971,45.62
2060.0,40.5,8969,45.55
2065.0,40.44,8965,45.48
2070.0,40.44,8964,45.38
2075.0,40.38,8962,45.35
2080.0,40.31,8961,45.35
2085.0,40.25,8963,45.35
2090.0,40.19,8961,45.28
2095.0,40.13,8959,45.25
2100.0,40.13,8957,45.21
2105.0,40.06,8956,45.18
2110.0,40.0,8955,45.11
2115.0,39.94,8954,45.08
2120.0,39.94,8952,45.01
2125.0,39.88,8949,44.91
2130.0,39.81,8947,44.87
2135.0,39.75,8945,44.8
2140.0,39.69,8944,44.73
2145.0,39.63,8942,44.67
2150.0,39.56,8940,44.6
2155.0,39.56,8939,44.56
2160.0,39.5,8938,44.5
2165.0,39.44,8936,44.5
2170.0,39.38,8935,44.46
2175.0,39.31,8934,44.36
2180.0,39.31,8932,44.36
2185.0,39.25,8932,44.36
2190.0,39.19,8931,44.29
2195.0,39.13,8929,44.26
2200.0,39.13,8926,44.16
2205.0,39.06,8924,44.05
2210.0,39.0,8923,43.99
2215.0,38.94,8921,43.95
2220.0,38.88,8919,43.92
2225.0,38.88,8918,43.85
2230.0,38.81,8916,43.75
2235.0,38.75,8915,43.71
2240.0,38.69,8914,43.71
2245.0,38.63,8914,43.71
2250.0,38.63,8915,43.71
2255.0,38.56,8913,43.71
2260.0,38.56,8911,43.65
2265.0,38.5,8911,43.61
2270.0,38.44,8909,43.54
2275.0,38.38,8907,43.44
2280.0,38.38,8904,43.41
2285.0,38.31,8904,43.37
2290.0,38.25,8900,43.27
2295.0,38.19,8899,43.2
2300.0,38.19,8897,43.14
2305.0,38.13,8896,43.1
2310.0,38.06,8895,43.07
2315.0,38.0,8894,43.03
2320.0,38.0,8893,43.03
2325.0,37.94,8892,42.97
2330.0,37.88,8892,42.93
2335.0,37.81,8891,42.9
2340.0,37.81,8889,42.86
2345.0,37.75,8887,42.83
2350.0,37.69,8886,42.76
2355.0,37.69,8884,42.69
2360.0,37.63,8883,42.66
2365.0,37.56,8881,42.59
2370.0,37.5,8879,42.52
2375.0,37.5,8878,42.49
2380.0,37.44,8876,42.46
2385.0,37.38,8876,42.39
2390.0,37.31,8874,42.35
2395.0,37.31,8872,42.29
2400.0,37.25,8871,42.25
2405.0,37.25,8870,42.22
2410.0,37.19,8869,42.18
2415.0,37.13,8867,42.12
2420.0,37.06,8866,42.12
2425.0,37.06,8865,42.08
2430.0,37.0,8863,41.98
2435.0,36.94,8863,41.98
2440.0,36.94,8861,41.91
2445.0,36.88,8861,41.88
2450.0,36.81,8859,41.88
2455.0,36.75,8858,41.81
2460.0,36.75,8857,41.78
2465.0,36.69,8856,41.74
2470.0,36.63,8855,41.71
2475.0,36.63,8853,41.67
2480.0,36.56,8852,41.64
2485.0,36.5,8851,41.61
2490.0,36.5,8850,41.54
2495.0,36.44,8848,41.5
2500.0,36.44,8847,41.47
2505.0,36.38,8847,41.4
2510.0,36.31,8845,41.37
2515.0,36.31,8843,41.33
2520.0,36.25,8842,41.3
2525.0,36.19,8841,41.23
2530.0,36.19,8839,41.16
2535.0,36.13,8838,41.13
2540.0,36.06,8837,41.1
2545.0,36.0,8836,41.06
2550.0,36.0,8836,41.06
2555.0,35.94,8835,40.99
2560.0,35.94,8832,40.96
2565.0,35.88,8832,40.93
2570.0,35.81,8831,40.93
2575.0,35.81,8830,40.86
2580.0,35.75,8828,40.82
2585.0,35.69,8827,40.76
2590.0,35.69,8824,40.69
2595.0,35.63,8823,40.65
2600.0,35.56,8821,40.59
2605.0,35.56,8822,40.55
2610.0,35.5,8820,40.52
2615.0,35.44,8819,40.52
2620.0,35.44,8819,40.48
2625.0,35.38,8818,40.45
2630.0,35.38,8816,40.42
2635.0,35.31,8816,40.38
2640.0,35.31,8814,40.31
2645.0,35.25,8812,40.28
2650.0,35.19,8811,40.25
2655.0,35.19,8809,40.18
2660.0,35.13,8809,40.14
2665.0,35.06,8808,40.08
2670.0,35.06,8806,40.04
2675.0,35.0,8804,40.04
2680.0,35.0,8804,40.04
2685.0,34.94,8804,39.97
2690.0,34.88,8803,39.91
2695.0,34.81,8801,39.87
2700.0,34.81,8800,39.87
2705.0,34.75,8799,39.8
2710.0,34.75,8798,39.77
2715.0,34.69,8798,39.77
2720.0,34.69,8795,39.7
2725.0,34.63,8795,39.67
2730.0,34.63,8792,39.6
2735.0,34.56,8790,39.53
2740.0,34.5,8788,39.47
2745.0,34.5,8787,39.43
2750.0,34.44,8786,39.36
2755.0,34.38,8786,39.36
2760.0,34.38,8785,39.36
2765.0,34.31,8784,39.36
2770.0,34.31,8784,39.33
2775.0,34.25,8783,39.26
2780.0,34.25,8783,39.23
2785.0,34.19,8782,39.23
2790.0,34.13,8781,39.19
2795.0,34.13,8779,39.13
2800.0,34.06,8777,39.09
2805.0,34.06,8777,39.06
2810.0,34.0,8777,39.06
2815.0,34.0,8776,39.02
2820.0,33.94,8775,38.96
2825.0,33.88,8774,38.96
2830.0,33.88,8772,38.92
2835.0,33.81,8771,38.82
2840.0,33.81,8769,38.82
2845.0,33.75,8769,38.79
2850.0,33.75,8768,38.75
2855.0,33.69,8767,38.72
2860.0,33.69,8766,38.68
2865.0,33.63,8765,38.68
2870.0,33.56,8764,38.62
2875.0,33.56,8763,38.58
2880.0,33.5,8761,38.51
2885.0,33.5,8759,38.45
2890.0,33.44,8757,38.41
2895.0,33.44,8756,38.34
2900.0,33.38,8755,38.31
2905.0,33.31,8754,38.31
2910.0,33.31,8753,38.28
2915.0,33.25,8753,38.24
2920.0,33.25,8752,38.21
2925.0,33.19,8751,38.17
2930.0,33.19,8750,38.17
2935.0,33.13,8750,38.11
2940.0,33.13,8748,38.11
2945.0,33.06,8747,38.07
2950.0,33.0,8747,38.04
2955.0,33.0,8746,38.0
2960.0,32.94,8745,37.97
2965.0,32.94,8744,37.94
2970.0,32.94,8743,37.9
2975.0,32.88,8742,37.9
2980.0,32.81,8741,37.87
2985.0,32.81,8740,37.83
2990.0,32.75,8740,37.8
2995.0,32.75,8738,37.73
3000.0,32.69,8738,37.73
3005.0,32.69,8736,37.66
3010.0,32.63,8734,37.6
3015.0,32.63,8733,37.56
3020.0,32.56,8731,37.53
3025.0,32.56,8731,37.5
3030.0,32.5,8730,37.5
3035.0,32.5,8730,37.5
3040.0,32.44,8729,37.43
3045.0,32.38,8728,37.43
3050.0,32.38,8728,37.39
3055.0,32.38,8726,37.36
3060.0,32.31,8725,37.26
3065.0,32.31,8722,37.22
3070.0,32.25,8722,37.19
3075.0,32.25,8720,37.16
3080.0,32.19,8720,37.09
3085.0,32.19,8718,37.09
3090.0,32.13,8717,37.05
3095.0,32.13,8717,37.02
3100.0,32.06,8716,36.99
3105.0,32.06,8717,37.02
3110.0,32.0,8716,36.99
3115.0,32.0,8714,36.92
3120.0,31.94,8713,36.88
3125.0,31.94,8713,36.92
3130.0,31.87,8713,36.88
3135.0,31.87,8712,36.88
3140.0,31.81,8711,36.85
3145.0,31.81,8711,36.82
3150.0,31.75,8710,36.78
3155.0,31.75,8709,36.78
3160.0,31.69,8709,36.75
3165.0,31.69,8707,36.71
3170.0,31.69,8707,36.65
3175.0,31.62,8705,36.65
3180.0,31.56,8705,36.61
3185.0,31.56,8704,36.54
3190.0,31.56,8702,36.54
3195.0,31.5,8702,36.51
3200.0,31.5,8701,36.48
3205.0,31.44,8701,36.48
3210.0,31.44,8699,36.44
3215.0,31.37,8698,36.41
3220.0,31.37,8697,36.38
3225.0,31.31,8696,36.31
3230.0,31.31,8695,36.27
3235.0,31.25,8694,36.24
3240.0,31.25,8693,36.24
3245.0,31.19,8693,36.21
3250.0,31.19,8692,36.17
3255.0,31.19,8691,36.17
3260.0,31.12,8691,36.14
3265.0,31.06,8689,36.1
3270.0,31.06,8688,36.07
3275.0,31.06,8688,36.04
3280.0,31.0,8687,36.0
3285.0,31.0,8687,35.97
3290.0,30.94,8686,35.97
3295.0,30.94,8685,35.93
3300.0,30.87,8684,35.9
3305.0,30.87,8682,35.87
3310.0,30.81,8683,35.83
3315.0,30.81,8682,35.8
3320.0,30.81,8680,35.8
3325.0,30.75,8680,35.76
3330.0,30.69,8679,35.73
3335.0,30.69,8679,35.7
3340.0,30.69,8677,35.66
3345.0,30.62,8676,35.63
3350.0,30.62,8675,35.59
3355.0,30.56,8674,35.56
3360.0,30.56,8673,35.56
3365.0,30.5,8672,35.49
3370.0,30.5,8672,35.53
3375.0,30.5,8671,35.46
3380.0,30.44,8670,35.46
3385.0,30.44,8670,35.46
3390.0,30.37,8670,35.42
3395.0,30.37,8669,35.39
3400.0,30.31,8668,35.36
3405.0,30.31,8667,35.36
3410.0,30.25,8667,35.32
3415.0,30.25,8665,35.29
3420.0,30.25,8665,35.26
3425.0,30.19,8663,35.22
3430.0,30.19,8663,35.19
3435.0,30.12,8663,35.19
3440.0,30.12,8661,35.15
3445.0,30.12,8661,35.12
3450.0,30.06,8660,35.12
3455.0,30.06,8659,35.05
3460.0,30.0,8657,35.02
3465.0,30.0,8657,34.98
3470.0,29.94,8656,34.98
3475.0,29.94,8655,34.92
3480.0,29.94,8655,34.95
3485.0,29.87,8654,34.88
3490.0,29.87,8653,34.81
3495.0,29.81,8652,34.81
3500.0,29.81,8651,34.78
3505.0,29.81,8650,34.78
3510.0,29.75,8650,34.75
3515.0,29.75,8649,34.75
3520.0,29.69,8649,34.71
3525.0,29.69,8648,34.68
3530.0,29.62,8648,34.68
3535.0,29.62,8647,34.64
3540.0,29.62,8646,34.61
3545.0,29.56,8645,34.58
3550.0,29.56,8643,34.54
3555.0,29.5,8643,34.51
3560.0,29.5,8642,34.47
3565.0,29.5,8642,34.47
3570.0,29.44,8641,34.47
3575.0,29.44,8641,34.44
3580.0,29.37,8640,34.41
3585.0,29.37,8640,34.41
3590.0,29.37,8639,34.37
3595.0,29.31,8637,34.34
3600.0,29.31,8637,34.31
3605.0,29.25,8635,34.27
3610.0,29.25,8635,34.27
3615.0,29.25,8635,34.24
3620.0,29.19,8634,34.24
3625.0,29.19,8634,34.2
3630.0,29.12,8633,34.17
3635.0,29.12,8632,34.14
3640.0,29.12,8631,34.1
3645.0,29.06,8630,34.07
3650.0,29.06,8629,34.07
3655.0,29.06,8628,34.03
3660.0,29.0,8627,34.0
3665.0,29.0,8627,33.97
3670.0,28.94,8626,33.93
3675.0,28.94,8625,33.9
3680.0,28.94,8624,33.9
3685.0,28.87,8624,33.86
3690.0,28.87,8624,33.86
3695.0,28.81,8623,33.83
3700.0,28.81,8622,33.83
3705.0,28.81,8622,33.8
3710.0,28.75,8620,33.76
3715.0,28.75,8619,33.73
3720.0,28.69,8619,33.73
3725.0,28.69,8619,33.69
3730.0,28.69,8619,33.69
3735.0,28.69,8617,33.66
3740.0,28.62,8617,33.66
3745.0,28.62,8616,33.59
3750.0,28.56,8615,33.59
3755.0,28.56,8615,33.56
3760.0,28.56,8614,33.56
3765.0,28.5,8613,33.46
3770.0,28.5,8612,33.49
3775.0,28.5,8612,33.46
3780.0,28.44,8611,33.46
3785.0,28.44,8611,33.42
3790.0,28.37,8610,33.42
3795.0,28.37,8609,33.39
3800.0,28.37,8609,33.36
3805.0,28.31,8608,33.32
3810.0,28.31,8608,33.32
3815.0,28.31,8606,33.29
3820.0,28.25,8605,33.22
3825.0,28.25,8604,33.22
3830.0,28.19,8603,33.19
3835.0,28.19,8603,33.15
3840.0,28.19,8603,33.15
3845.0,28.12,8602,33.15
3850.0,28.12,8602,33.12
3855.0,28.12,8602,33.12
3860.0,28.06,8601,33.08
3865.0,28.06,8601,33.08
3870.0,28.06,8600,33.05
3875.0,28.0,8599,33.02
3880.0,28.0,8598,33.02
3885.0,28.0,8598,32.98
3890.0,27.94,8598,32.98
3895.0,27.94,8597,32.98
3900.0,27.94,8596,32.95
3905.0,27.87,8596,32.91
3910.0,27.87,8595,32.88
3915.0,27.87,8594,32.85
3920.0,27.81,8594,32.88
3925.0,27.81,8594,32.85
3930.0,27.75,8594,32.81
3935.0,27.75,8593,32.81
3940.0,27.75,8592,32.78
3945.0,27.69,8591,32.75
3950.0,27.69,8591,32.71
3955.0,27.69,8590,32.68
3960.0,27.62,8589,32.68
3965.0,27.62,8588,32.64
3970.0,27.62,8588,32.64
3975.0,27.62,8587,32.61
3980.0,27.56,8585,32.58
3985.0,27.56,8586,32.54
3990.0,27.56,8583,32.51
3995.0,27.5,8584,32.51
4000.0,27.5,8583,32.47
4005.0,27.44,8583,32.47
4010.0,27.44,8582,32.44
4015.0,27.44,8582,32.44
4020.0,27.37,8581,32.41
4025.0,27.37,8580,32.37
4030.0,27.37,8579,32.37
4035.0,27.31,8580,32.37
4040.0,27.31,8579,32.34
4045.0,27.31,8578,32.3
4050.0,27.25,8577,32.3
4055.0,27.25,8577,32.27
4060.0,27.25,8576,32.24
4065.0,27.25,8575,32.2
4070.0,27.19,8575,32.2
4075.0,27.19,8574,32.17
4080.0,27.12,8574,32.17
4085.0,27.12,8573,32.14
4090.0,27.12,8573,32.14
4095.0,27.12,8572,32.14
4100.0,27.06,8572,32.1
4105.0,27.06,8572,32.1
4110.0,27.06,8571,32.07
4115.0,27.0,8570,32.0
4120.0,27.0,8569,32.0
4125.0,27.0,8568,32.0
4130.0,26.94,8568,31.97
4135.0,26.94,8567,31.93
4140.0,26.94,8567,31.9
4145.0,26.87,8566,31.9
4150.0,26.87,8565,31.9
4155.0,26.87,8565,31.86
4160.0,26.81,8564,31.86
4165.0,26.81,8564,31.83
4170.0,26.81,8563,31.8
4175.0,26.75,8562,31.8
4180.0,26.75,8561,31.76
4185.0,26.75,8560,31.73
4190.0,26.75,8560,31.69
4195.0,26.69,8560,31.66
4200.0,26.69,8559,31.66
4205.0,26.69,8559,31.66
4210.0,26.62,8559,31.63
4215.0,26.62,8558,31.59
4220.0,26.62,8558,31.63
4225.0,26.62,8557,31.63
4230.0,26.56,8557,31.59
4235.0,26.56,8556,31.59
4240.0,26.56,8556,31.56
4245.0,26.5,8555,31.52
4250.0,26.5,8554,31.49
4255.0,26.5,8554,31.52
4260.0,26.44,8553,31.46
4265.0,26.44,8552,31.46
4270.0,26.44,8552,31.42
